reference,degraded,moslqo,fvnsim0,fvnsim1,fvnsim2,fvnsim3,fvnsim4,fvnsim5,fvnsim6,fvnsim7,fvnsim8,fvnsim9,fvnsim10,fvnsim11,fvnsim12,fvnsim13,fvnsim14,fvnsim15,fvnsim16,fvnsim17,fvnsim18,fvnsim19,fvnsim20,fvnsim10_0,fvnsim10_1,fvnsim10_2,fvnsim10_3,fvnsim10_4,fvnsim10_5,fvnsim10_6,fvnsim10_7,fvnsim10_8,fvnsim10_9,fvnsim10_10,fvnsim10_11,fvnsim10_12,fvnsim10_13,fvnsim10_14,fvnsim10_15,fvnsim10_16,fvnsim10_17,fvnsim10_18,fvnsim10_19,fvnsim10_20,fstdnsim0,fstdnsim1,fstdnsim2,fstdnsim3,fstdnsim4,fstdnsim5,fstdnsim6,fstdnsim7,fstdnsim8,fstdnsim9,fstdnsim10,fstdnsim11,fstdnsim12,fstdnsim13,fstdnsim14,fstdnsim15,fstdnsim16,fstdnsim17,fstdnsim18,fstdnsim19,fstdnsim20,fvdegenergy0,fvdegenergy1,fvdegenergy2,fvdegenergy3,fvdegenergy4,fvdegenergy5,fvdegenergy6,fvdegenergy7,fvdegenergy8,fvdegenergy9,fvdegenergy10,fvdegenergy11,fvdegenergy12,fvdegenergy13,fvdegenergy14,fvdegenergy15,fvdegenergy16,fvdegenergy17,fvdegenergy18,fvdegenergy19,fvdegenergy20
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_1_1(375).wav,4.44690386,0.708461684,0.852554556,0.863642559,0.935920032,0.948371988,0.906497391,0.907568852,0.903066712,0.884949358,0.850023396,0.889719581,0.926437731,0.94086738,0.939634953,0.948695935,0.938090563,0.939405575,0.942969466,0.927321847,0.833688194,0.744714535,0.225909317,0.573948512,0.540281744,0.580749314,0.681303658,0.725203352,0.702467061,0.670029104,0.587777108,0.502095643,0.727315925,0.823729528,0.791220962,0.820251086,0.812766892,0.768972388,0.714215233,0.782723898,0.821761644,0.681256826,0.25823084,0.364374753,0.252316528,0.274033542,0.214081461,0.161393956,0.196199901,0.179762308,0.199717518,0.235463649,0.255720216,0.202501382,0.178984322,0.150405978,0.137468302,0.119784452,0.144480638,0.160565647,0.159765072,0.13711891,0.207481904,0.345397962,6.07966577,13.5066761,16.8118139,17.1963576,16.4930514,17.1144685,16.5645192,14.557449,11.6125546,10.0641052,9.65441975,11.9469097,13.1715577,12.3544859,11.818305,11.5132288,11.458458,9.72754575,9.66272568,9.61940257,6.80296539
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_2_1(405).wav,4.60338224,0.747177168,0.862674082,0.881565497,0.962550862,0.976071516,0.953271355,0.948655701,0.948980059,0.942896751,0.929003752,0.950190829,0.974885344,0.978739622,0.968627344,0.961285759,0.945588621,0.953497356,0.945564156,0.924771655,0.850041378,0.768424277,0.272760225,0.610931821,0.644504205,0.91088437,0.941938888,0.848470577,0.887127631,0.869861985,0.846239338,0.837225746,0.882709392,0.909870231,0.919323732,0.927353649,0.874920954,0.873433301,0.858518342,0.859424745,0.863929385,0.631579349,0.254809607,0.34575048,0.24801923,0.239537464,0.0952170163,0.0502403591,0.0890069691,0.0857837261,0.105389706,0.139776857,0.145976682,0.105659927,0.058613685,0.0386396903,0.0670146142,0.10652104,0.10599395,0.086182157,0.0991541942,0.104007833,0.188617915,0.337290926,6.98498811,14.6416743,17.8035433,18.3064145,17.4529273,17.9272955,17.375173,15.3836695,12.4021543,10.9593136,10.3842067,12.6607149,13.9651617,13.0157098,12.5198353,12.317107,12.3014999,10.4191601,10.428655,10.3961287,7.52609438
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_3_1(410).wav,4.56336167,0.726415699,0.866902037,0.880599911,0.955574479,0.970435394,0.93985881,0.934971412,0.933958957,0.925698398,0.913319848,0.936665342,0.970171009,0.974208389,0.948865319,0.956681541,0.945837104,0.952280232,0.947832311,0.928070479,0.836705366,0.765278951,0.208228744,0.590048117,0.658243025,0.78017218,0.889781689,0.811394232,0.822323023,0.778060238,0.724841297,0.659901959,0.819117781,0.920293032,0.886940943,0.84863732,0.872391664,0.808361309,0.783668286,0.833417498,0.856432593,0.691259468,0.319081907,0.357646105,0.239797096,0.259668403,0.138784866,0.0803893579,0.134405589,0.134264371,0.152591036,0.185398667,0.189673275,0.151025303,0.0854035336,0.0712907293,0.131201156,0.115679077,0.119081824,0.122532071,0.122052165,0.113261226,0.194869463,0.323235827,6.83631873,14.0829062,17.3534204,17.8023454,17.0077518,17.5616121,17.08368,15.1080867,12.1463713,10.6805948,10.1804674,12.4925744,13.6438257,12.7908897,12.4055285,12.1209993,12.0279717,10.214597,10.2800586,10.1875131,7.38301525
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_4_1(402).wav,4.59741357,0.744085526,0.861729581,0.887595925,0.967386375,0.968347453,0.952172621,0.947739451,0.949501467,0.939730621,0.919703203,0.94411336,0.972921825,0.975933667,0.9638944,0.969812532,0.955359907,0.960094341,0.944914371,0.924075946,0.844065869,0.756807232,0.26060332,0.601350078,0.665529712,0.938426024,0.896971314,0.849492315,0.881626917,0.906426836,0.829977018,0.77770892,0.837432352,0.931066862,0.88460215,0.894146508,0.950068253,0.897054201,0.908944001,0.883342272,0.866697424,0.705151539,0.365985872,0.343682506,0.251641112,0.223193689,0.082901581,0.10162161,0.0973965262,0.0897639466,0.103450651,0.148923416,0.167335426,0.125311867,0.0681296925,0.0605222951,0.0867525689,0.054240477,0.0811712953,0.0654937211,0.0986459491,0.105413154,0.169054191,0.316729947,7.11339302,14.808453,17.978771,18.4511109,17.5925543,18.1299384,17.5416394,15.5236126,12.4989994,11.0053641,10.5175067,12.8384153,14.021569,13.1429316,12.6816319,12.4170722,12.4584104,10.5492436,10.5294087,10.5036786,7.5359495
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_5_1(407).wav,4.60233869,0.743384849,0.86915709,0.888608015,0.961628157,0.979875874,0.952597895,0.949007533,0.949830783,0.942246738,0.920346417,0.942648256,0.965362605,0.965486762,0.966843652,0.969901965,0.958005104,0.95511091,0.954726267,0.923653967,0.848788756,0.762971946,0.239155067,0.635292088,0.686655224,0.896806246,0.962081616,0.804447777,0.883978143,0.874428022,0.832561126,0.79517606,0.859102292,0.853934442,0.809771533,0.872901791,0.931034793,0.912276442,0.891420129,0.88997597,0.849611044,0.682432973,0.270704274,0.352629705,0.237197224,0.219435258,0.105308405,0.0418514763,0.0950315971,0.0863089031,0.0970544761,0.139799033,0.169831328,0.126521108,0.0993705832,0.10570563,0.0841541876,0.0581060425,0.0639304605,0.0754837012,0.0787391848,0.106711621,0.166962748,0.328483047,7.10696231,14.6133802,17.7580001,18.2908448,17.4152208,17.915368,17.3899456,15.3993451,12.3427042,10.9145116,10.3745583,12.6911073,13.943939,12.987243,12.4983409,12.2187337,12.2927854,10.446627,10.4781381,10.2998504,7.45206409
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_6_1(398).wav,4.55657576,0.729078573,0.86454543,0.865731538,0.935960276,0.95849368,0.935604891,0.932727118,0.934275756,0.920051713,0.902167988,0.939324892,0.970580372,0.974277835,0.964714845,0.969955802,0.948607433,0.949273384,0.94590744,0.927640471,0.847263967,0.766315269,0.218864231,0.624933985,0.571035328,0.636175611,0.758223935,0.776297928,0.735114607,0.696124873,0.626781508,0.537859095,0.796912084,0.887203243,0.87493531,0.887736594,0.934236386,0.806109772,0.747935,0.806679674,0.81794991,0.681055016,0.264003306,0.345344063,0.234655824,0.249216922,0.182182441,0.120515842,0.148080288,0.157226165,0.171520245,0.200355434,0.220362666,0.14313719,0.0831128171,0.0770839082,0.0831318747,0.0525506563,0.126843156,0.13512612,0.123909405,0.112404795,0.187067652,0.328571253,6.74619092,14.0492092,17.3904284,17.8017535,17.094958,17.6733402,17.1837771,15.2116617,12.1178696,10.6927054,10.2447784,12.4166376,13.7212638,12.9291258,12.361865,12.0662588,12.0022697,10.2949196,10.2434504,10.1400952,7.28457935
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_7_1(403).wav,4.60715125,0.728039695,0.859447581,0.880869812,0.959041837,0.968954496,0.94722278,0.944301048,0.947750464,0.935572194,0.922647317,0.951619673,0.978299683,0.970287544,0.972978399,0.974118969,0.961844584,0.964880396,0.960942467,0.931404608,0.854273483,0.775422479,0.0930325743,0.593241297,0.68147681,0.885347608,0.917787322,0.824265398,0.881070954,0.847718403,0.784546477,0.807793424,0.864812617,0.919223708,0.851334839,0.905815776,0.952033843,0.919625582,0.943372869,0.934116457,0.887385766,0.698827396,0.375059436,0.366965409,0.250488846,0.224555394,0.10472671,0.083735042,0.103565784,0.108472499,0.119528734,0.158207734,0.156858086,0.10564746,0.0602044834,0.0896566847,0.0675017648,0.0535795275,0.0641626866,0.0570843262,0.0549940161,0.0873118283,0.169697096,0.296126284,6.77074756,14.2378799,17.5224033,17.9258094,17.1531723,17.6785525,17.1530683,15.1714365,12.1609898,10.7094617,10.2216663,12.4554984,13.6598317,12.8542442,12.271772,12.0568101,12.0258937,10.1896268,10.1033721,10.0122621,7.09676788
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_8_1(402).wav,4.59687441,0.735722324,0.868005626,0.886266489,0.967764275,0.979411115,0.942971148,0.941233524,0.936809696,0.934724123,0.915259698,0.934741528,0.964199326,0.970874166,0.958636561,0.967072885,0.962622209,0.963495422,0.956492535,0.921198183,0.85721408,0.783059654,0.23709697,0.63181859,0.647227589,0.922810171,0.950928269,0.795924555,0.820292157,0.773205841,0.778279541,0.764959332,0.85094792,0.880236301,0.847702517,0.878975381,0.912407754,0.923654322,0.919886973,0.914493358,0.792560049,0.722252957,0.397044723,0.352161719,0.238558908,0.226221876,0.0941368832,0.0496280886,0.130503404,0.126582133,0.154591391,0.174856164,0.181978717,0.151745779,0.0939891391,0.0848930299,0.101824026,0.0782845616,0.0597904277,0.0600822982,0.0659495603,0.130677529,0.16007874,0.300288288,6.91608941,14.5872717,17.8379811,18.2983711,17.4288677,17.9171812,17.4132631,15.4194337,12.4090908,10.9045488,10.4013076,12.7268197,13.9903562,13.0023966,12.5427776,12.242178,12.2341894,10.4695982,10.4806142,10.3849988,7.55467169
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_9_1(398).wav,4.59716407,0.732686802,0.865588862,0.880301577,0.961651456,0.982107255,0.956176002,0.946701991,0.94511715,0.93415846,0.921644935,0.944183651,0.969061953,0.971030271,0.96470888,0.96605135,0.952749577,0.957779945,0.951843441,0.935490866,0.847352864,0.762575192,0.271840832,0.612181693,0.636408281,0.888450907,0.956308419,0.843337942,0.888976662,0.878597376,0.783940273,0.789249557,0.852230695,0.882289541,0.859929645,0.891806077,0.920436388,0.894487955,0.86395391,0.897590938,0.861597851,0.698986701,0.337374036,0.345389208,0.243152335,0.242428588,0.133662985,0.0317791149,0.0799857485,0.0861004736,0.115204683,0.161146556,0.173573162,0.131807902,0.0819235121,0.0810091132,0.0801611234,0.0575470035,0.0959296729,0.0850716582,0.0880367067,0.0815486006,0.170948682,0.313084447,6.87047666,14.5692095,17.833355,18.3146326,17.4674201,17.9575047,17.413415,15.3940267,12.3154905,10.9087648,10.3575085,12.6705245,13.8607984,12.9354375,12.4761563,12.310002,12.2586325,10.4822012,10.4047636,10.3943886,7.44820695
./WAV/POLQA/AmEng_SWB_6s.wav,./WAV/POLQA/AmEng_SWB_6s_2_1_10_1(414).wav,4.57011556,0.739118157,0.868056886,0.888645827,0.968518648,0.972371022,0.935057694,0.933374244,0.931952006,0.935738104,0.913344374,0.937574812,0.961424883,0.974517731,0.969822343,0.957819698,0.93383931,0.939610303,0.938415043,0.922880239,0.844760383,0.771189677,0.266733326,0.635387192,0.66054174,0.92647144,0.914080328,0.818670939,0.744848236,0.734885776,0.789949102,0.767135961,0.80187434,0.855242708,0.871150918,0.913614135,0.788548679,0.732094237,0.763631254,0.765091488,0.816089015,0.662664214,0.32312457,0.352368117,0.234102805,0.230202337,0.0907190698,0.0939036574,0.155400342,0.146495207,0.167844996,0.161815713,0.18227554,0.163774061,0.113817119,0.0725943334,0.0721092513,0.137657469,0.159806969,0.134152192,0.125201503,0.113305017,0.189477195,0.330601205,6.78923793,14.1939275,17.4603383,17.896406,17.0808932,17.5423643,17.0173634,15.1347617,12.2630823,10.8213761,10.3128345,12.4405655,13.6402964,12.7705094,12.2738632,12.005421,12.0442447,10.2256128,10.2132732,10.1883505,7.36739837
